Date,Open,High,Low,Close,Adj Close,Volume
2016-10-17,213.089996,213.389999,212.169998,212.380005,193.917557,58275700
2016-10-18,214.240005,214.309998,213.270004,213.710007,195.131958,76869700
2016-10-19,214.020004,214.639999,213.600006,214.279999,195.652405,66519200
2016-10-20,213.869995,214.529999,213.110001,213.880005,195.287125,73639800
2016-10-21,213.880005,214.080002,212.759995,213.979996,195.378418,89089100
2016-10-24,215.000000,215.320007,214.479996,214.889999,196.209335,60146600
2016-10-25,214.679993,214.979996,213.979996,214.169998,195.551926,66542300
2016-10-26,213.210007,214.419998,212.929993,213.740005,195.159317,75705500
2016-10-27,214.580002,214.619995,213.080002,213.169998,194.638901,77220200
2016-10-28,213.139999,213.929993,211.710007,212.539993,194.063568,140623200
2016-10-31,212.929993,213.190002,212.360001,212.550003,194.072769,61272500
2016-11-01,212.929993,212.990005,209.600006,211.009995,192.666580,122781800
2016-11-02,210.649994,211.100006,209.229996,209.740005,191.507034,103330800
2016-11-03,209.990005,210.240005,208.460007,208.779999,190.630493,88939300
2016-11-04,208.910004,209.889999,208.380005,208.550003,190.420486,109122100
2016-11-07,208.550003,213.190002,208.550003,213.149994,194.620605,109794900
2016-11-08,212.690002,214.770004,212.380005,214.110001,195.497131,106772100
2016-11-09,212.369995,217.100006,212.339996,216.380005,197.569839,258429000
2016-11-10,217.300003,218.309998,215.220001,216.919998,198.062836,172113300
2016-11-11,216.080002,216.699997,215.320007,216.419998,197.606354,100552700
2016-11-14,217.029999,217.270004,215.720001,216.589996,197.761566,94580000
2016-11-15,217.039993,218.279999,216.800003,218.279999,199.304642,91652600
2016-11-16,217.559998,218.139999,217.419998,217.869995,198.930267,65617700
2016-11-17,218.050003,219.059998,217.919998,218.990005,199.952942,69797200
2016-11-18,219.070007,219.270004,218.289993,218.500000,199.505539,86265800
2016-11-21,219.169998,220.179993,219.000000,220.149994,201.012115,72402600
2016-11-22,220.509995,220.789993,219.729996,220.580002,201.404678,67429000
2016-11-23,219.979996,220.759995,219.750000,220.699997,201.514267,56620200
2016-11-25,221.100006,221.559998,221.009995,221.520004,202.262985,37872300
2016-11-28,221.160004,221.479996,220.360001,220.479996,201.313400,76572500
2016-11-29,220.520004,221.440002,220.169998,220.910004,201.706024,69886700
2016-11-30,221.630005,221.820007,220.309998,220.380005,201.222122,113291800
2016-12-01,220.729996,220.729996,219.149994,219.570007,200.482498,79040500
2016-12-02,219.669998,220.250000,219.259995,219.679993,200.582947,74840300
2016-12-05,220.649994,221.399994,220.419998,221.000000,201.788193,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,202.427338,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,205.075272,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,205.577423,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,206.819199,88005800
2016-12-12,226.399994,226.960007,225.759995,226.250000,206.581818,102016100
2016-12-13,227.020004,228.339996,227.000000,227.759995,207.960526,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,206.243988,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,207.093109,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,206.688095,156420200
2016-12-19,225.250000,226.020004,225.080002,225.529999,207.138138,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,207.937149,89838800
2016-12-21,226.250000,226.449997,225.770004,225.770004,207.358566,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,207.000351,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,207.303467,36697800
2016-12-27,226.020004,226.729996,226.000000,226.270004,207.817795,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,206.100296,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,206.054352,48696100
2016-12-30,224.729996,224.830002,222.729996,223.529999,205.301224,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,206.871811,91366500
2017-01-04,225.619995,226.750000,225.610001,226.580002,208.102524,78744400
2017-01-05,226.270004,226.580002,225.479996,226.399994,207.937149,78379000
2017-01-06,226.529999,227.750000,225.899994,227.210007,208.681137,71559900
2017-01-09,226.910004,227.070007,226.419998,226.460007,207.992294,46939700
2017-01-10,226.479996,227.449997,226.009995,226.460007,207.992294,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,208.580093,74650000
2017-01-12,226.500000,226.750000,224.960007,226.529999,208.056564,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,208.534180,62717900
2017-01-17,226.309998,226.779999,225.800003,226.250000,207.799408,61240800
2017-01-18,226.539993,226.800003,225.899994,226.750000,208.258636,54793300
2017-01-19,226.839996,227.000000,225.410004,225.910004,207.487106,66608800
2017-01-20,226.699997,227.309998,225.970001,226.740005,208.249420,129168600
2017-01-23,226.740005,226.809998,225.270004,226.149994,207.707550,75061600
2017-01-24,226.399994,228.080002,226.270004,227.600006,209.039322,95555300
2017-01-25,228.699997,229.570007,228.509995,229.570007,210.848694,84437700
2017-01-26,229.399994,229.710007,229.009995,229.330002,210.628235,59970700
